ID,Title,Rating,ReviewText
1,Thor,2,This movie at times is very boring and fails to keep the viewers interest. At times the movie feels very lifeless and dull however it does pass the time and is an alright introduction to Thor.
1,Thor,4,"Such an under rated MCU film. A great origin story that introduces one of the classic Avengers and villains beautifully, in a very Shakespearean style. Good drama and absolutely beautiful soundtrack from Patrick Doyle. I revisited this movie after sitting through the catastrophic Thor 4, and was so relieved and happy to see this movie take Thor seriously: his character and story are not the constant butt of jokes. I still think this is the best Thor movie. Love and Thunder was terrible, and Ragnarok, while cool at the time,has lost some of its luster as the jokes and belittling of Thor have grown old. Thor 1 still feels fresh, 11 years later. It's more of a thoughtful film than an action film, and I love it for that. It prioritizes a good story over explosions and colors. It's substance over spectacle."
1,Thor,1,Pathetic and stupid..Thor should be wearing a clown suit. This movie is comical and 10yr olds would probably love it.
1,Thor,4,This is one of those films that is actually better on a repeat viewing. The use of Dutch angles is atrocious but the story is well written. A good foundation for turning one of the most consistently boring Marvel heroes into someone interesting enough to warrant a film fanbase.
1,Thor,3,One of the less good marvel movies but still good.
1,Thor,3,"The 4th MCU film, Kenneth Branagh gives us a compelling enough story, talented cast and a stunning world environment. Asgard is stunning, it's the first time we see it on the big screen and it doesn't disappoint, especially for 2011. This film gives us the beginning of Thor's tragic character arc, is this film he's a arrogant, almost childish character. The first film is the most serious of the 4 and I appreciate that, I love what Thor becomes but the first film tried something and although it didn't pay off as much as the later films it is still entertaining and worth a watch."
1,Thor,5,"After i see Thor 4 ,THIS first movie is the best Thor movie ,reflects the real character (i mean ,COMICS) ... maybe Thor 2 have some flaws ,but 3 and 4 is garbage."
1,Thor,2,well I was expecting a lot more it was okay but I wont be paying to see this one a second time in the theater. it was a little boring and the comedy in it was dumb. and the climax fight was bad. I guess the MCU has decided to take lessons from Kathleen Kennedy
1,Thor,5,Best Thor to this day ... The origin story is just amazing
15,Thor: Love and Thunder,1,"I loved Ragnarok (and I really liked all of Taika Waititi's other movies), but this was like the palest shadow of that. The jokes all fell flat, the plot points seemed horribly forced, Bale was wasted. Russell Crowe was ok. I'd honestly rather watch the Eternals again."
15,Thor: Love and Thunder,2,"The movie is lacklustre compared to other marval movies at best, the movie try's to pull poor jokes at every corner and is somewhat of a bore to watch, a lot of key plot points in the movie are just scratched over and don't make sense when Considering an actual narrative, in short the movie feels like a tired spinoff that shouldn't have made the cut."
15,Thor: Love and Thunder,2,The laziest MCU rendition yet! Dumb Thor isn't exactly my cup of tea!
15,Thor: Love and Thunder,5,I thought it was one of Marvel's funniest movies and had a nice Rhythm between being funny and serious when it needed to be. The stakes felt appropriate and it was nice to take a break from the massive Stakes of other Marvel movies.
15,Thor: Love and Thunder,5,One of my favourite Marvel movies.
15,Thor: Love and Thunder,3,"Meh exactly. entertaining, very well made, but missing something. I feel like there was another story line trapped in this movie someplace, very powerful actors mixed with very ""meh"" actors. feels like there's two movies trying to make it into one."
4,Thor: Ragnarok,5,The greatest 02 hours: and 10 minutes ever!!!!!!!!!! It is not ****ing bull****!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! The bad reviews can lick a p***y and c***!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
4,Thor: Ragnarok,4,Chris Hemsworth and the rest of the cast have great chemistry in this movie. The storyline and comedy are well written.
4,Thor: Ragnarok,4,"This movie got the right balance of story, plot, humor, action, and drama.  It is by far the best Thor movie and enjoyable to watch as a stand alone"
4,Thor: Ragnarok,4,Fun movie with lots of jokes
4,Thor: Ragnarok,5,"Taika Waititi swoops in at just the right moment to save Thor in the MCU. One of the funniest MCU films to date, it blew audiences away all around the world, completely reinventing the formula, and giving Thor the re-work that was required after his somewhat disastrous second movie. WIth amazing characters and an amazing cast, Thor: Ragnarok is a magnificent achievement in cinema."
4,Thor: Ragnarok,4,My rating for the film is a 8.6/10
4,Thor: Ragnarok,5,"Thor: Ragnarok is the BEST Thor movie. I've seen all of them. Thor (2011), Thor: The Dark World (2013), and Thor: Love and Thunder (2022). Ragnarok wasn't too serious, but it wasn't too funny. It had just the right amount of humor and seriousness to balance it out."
4,Thor: Ragnarok,4,My 2nd favorite Marvel movie great execution amazing at the sequel was so terrible in comparison
4,Thor: Ragnarok,2,"Regia scarsa, per un film senza né capo né coda."
4,Thor: Ragnarok,5,Quite the tone change compared to the first two movies. This was really fun.
12,Eternals,4,Excellent movie and a magnificent adventure.
